Bag,ztop,Age,Deuterium,Temperature
910.0,499.95,19745.5742,-438.3,-8.84
911.0,500.5,19789.5312,-436.4,-8.53
912.0,501.05,19833.9238,-442.4,-9.51
913.0,501.6,19880.9395,-448.0,-10.43
914.0,502.15,19930.5176,-444.2,-9.81
915.0,502.7,19979.2168,-441.7,-9.4
916.0,503.25,20025.9492,-439.5,-9.04
917.0,503.8,20071.9766,-442.1,-9.46
918.0,504.35,20117.7188,-437.5,-8.71
919.0,504.9,20163.3516,-444.1,-9.79
920.0,505.45,20210.3184,-440.6,-9.22
921.0,506.0,20257.0957,-442.5,-9.53
922.0,506.55,20304.3652,-443.5,-9.69
923.0,507.1,20352.4238,-443.7,-9.72
924.0,507.65,20401.0352,-446.5,-10.18
925.0,508.2,20450.209,-438.8,-8.92
926.0,508.75,20495.9707,-438.3,-8.83
927.0,509.3,20540.707,-441.2,-9.31
928.0,509.85,20587.1621,-442.3,-9.49
929.0,510.4,20634.5605,-443.3,-9.65
930.0,510.95,20682.7129,-443.2,-9.64
931.0,511.5,20730.7422,-439.5,-9.03
932.0,512.05,20776.4121,-441.5,-9.36
933.0,512.6,20823.2305,-441.8,-9.41
934.0,513.15,20870.3926,-442.2,-9.47
935.0,513.7,20917.7539,-441.7,-9.39
936.0,514.25,20965.4648,-446.3,-10.14
937.0,514.8,21014.8594,-440.9,-9.25
938.0,515.35,21062.2578,-442.5,-9.52
939.0,515.9,21109.1543,-437.8,-8.74
940.0,516.45,21154.6133,-439.7,-9.06
941.0,517.0,21201.1387,-445.6,-10.02
942.0,517.55,21250.2695,-445.7,-10.04
943.0,518.1,21299.6152,-440.6,-9.2
944.0,518.65,21346.3184,-436.9,-8.59
945.0,519.2,21390.1914,-432.8,-7.92
946.0,519.75,21434.5781,-446.1,-10.1
947.0,520.3,21482.3066,-443.7,-9.71
948.0,520.85,21530.7148,-438.8,-8.9
949.0,521.4,21577.6777,-443.3,-9.64
950.0,521.95,21625.9883,-446.2,-10.12
951.0,522.5,21675.7695,-442.9,-9.57
952.0,523.05,21724.0586,-439.2,-8.96
953.0,523.6,21770.1602,-437.7,-8.72
954.0,524.15,21814.9258,-436.2,-8.47
955.0,524.7,21859.1855,-442.0,-9.42
956.0,525.25,21906.5254,-440.3,-9.14
957.0,525.8,21953.1992,-443.1,-9.6
958.0,526.35,22001.8184,-442.2,-9.45
959.0,526.9,22049.8418,-444.4,-9.82
960.0,527.45,22099.4609,-445.4,-9.98
961.0,528.0,22149.8496,-443.5,-9.67
962.0,528.55,22198.8359,-438.3,-8.81
963.0,529.1,22244.4902,-445.8,-10.04
964.0,529.65,22295.082,-445.0,-9.91
965.0,530.2,22345.2188,-435.6,-8.36
966.0,530.75,22389.1641,-440.3,-9.14
967.0,531.3,22435.8457,-442.0,-9.41
968.0,531.85,22483.2734,-437.9,-8.74
969.0,532.4,22529.3027,-440.8,-9.22
970.0,532.95,22576.7812,-445.1,-9.92
971.0,533.5,22625.6934,-439.5,-9.0
972.0,534.05,22673.793,-445.5,-9.98
973.0,534.6,22723.0176,-441.7,-9.36
974.0,535.15,22771.8242,-443.3,-9.62
975.0,535.7,22820.5059,-441.9,-9.39
976.0,536.25,22869.25,-444.0,-9.73
977.0,536.8,22918.4688,-442.9,-9.55
978.0,537.35,22967.1543,-440.2,-9.11
979.0,537.9,23013.8984,-436.1,-8.43
980.0,538.45,23059.291,-438.6,-8.84
981.0,539.0,23104.0508,-434.9,-8.23
982.0,539.55,23148.9297,-439.5,-8.99
983.0,540.1,23194.9395,-440.7,-9.19
984.0,540.65,23241.9062,-438.3,-8.79
985.0,541.2,23288.9629,-447.2,-10.25
986.0,541.75,23339.7246,-441.8,-9.36
987.0,542.3,23388.4199,-439.3,-8.95
988.0,542.85,23435.4512,-441.3,-9.28
989.0,543.4,23483.0234,-437.7,-8.69
990.0,543.95,23528.8184,-438.9,-8.88
991.0,544.5,23575.1562,-439.9,-9.05
992.0,545.05,23622.0527,-437.4,-8.64
993.0,545.6,23667.7598,-439.3,-8.95
994.0,546.15,23714.5371,-441.4,-9.29
995.0,546.7,23762.5371,-441.8,-9.36
996.0,547.25,23811.9004,-448.1,-10.39
997.0,547.8,23864.0938,-445.4,-9.95
998.0,548.35,23915.5,-443.4,-9.62
999.0,548.9,23965.4355,-442.8,-9.52
