Depth (m),del18O,Age (yrs BP),temperature
322.85,-34.05,1344.6,-30.37
323.4,-35.18,1347.1,-32.06
323.95,-34.88,1349.8,-31.61
324.5,-33.69,1352.5,-29.84
325.05,-35.96,1355.0,-33.22
325.6,-35.32,1357.9,-32.27
326.15,-35.26,1360.7,-32.18
326.7,-34.4,1363.4,-30.9
327.25,-36.91,1366.0,-34.64
327.8,-34.51,1369.3,-31.06
328.35,-35.13,1371.9,-31.99
328.9,-34.14,1374.6,-30.51
329.45,-34.24,1377.2,-30.66
330.0,-36.49,1379.7,-34.01
330.55,-35.81,1382.8,-33.0
331.1,-35.65,1385.7,-32.76
331.65,-35.94,1388.6,-33.19
332.2,-34.5,1391.5,-31.04
332.75,-34.05,1394.1,-30.37
333.3,-34.34,1396.7,-30.81
333.85,-33.67,1399.3,-29.81
334.4,-34.21,1401.8,-30.61
334.95,-34.96,1404.3,-31.73
335.5,-34.02,1407.0,-30.33
336.05,-34.31,1409.6,-30.76
336.6,-34.84,1412.2,-31.55
337.15,-36.24,1414.9,-33.64
337.7,-35.26,1417.9,-32.18
338.25,-34.34,1420.7,-30.81
338.8,-35.61,1423.3,-32.7
339.35,-36.26,1426.1,-33.67
339.9,-35.05,1429.2,-31.87
340.45,-34.73,1431.9,-31.39
341.0,-36.34,1434.6,-33.79
341.55,-35.45,1437.6,-32.46
342.1,-35.06,1440.4,-31.88
342.65,-35.6,1443.2,-32.69
343.2,-36.55,1446.0,-34.1
343.75,-35.03,1449.2,-31.84
344.3,-36.41,1451.9,-33.9
344.85,-34.97,1455.0,-31.75
345.4,-35.67,1457.7,-32.79
345.95,-34.7,1460.6,-31.34
346.5,-34.88,1463.3,-31.61
347.05,-35.68,1466.0,-32.81
347.6,-35.4,1468.9,-32.39
348.15,-35.72,1471.7,-32.87
348.7,-36.13,1474.6,-33.48
349.25,-34.97,1477.6,-31.75
349.8,-36.95,1480.3,-34.7
350.35,-35.23,1483.6,-32.13
350.9,-35.9,1486.4,-33.13
351.45,-35.02,1489.4,-31.82
352.0,-34.65,1492.1,-31.27
352.55,-34.37,1494.8,-30.85
353.1,-34.22,1497.4,-30.63
353.65,-34.95,1500.0,-31.72
354.2,-37.16,1502.7,-35.01
354.75,-35.09,1506.1,-31.93
355.3,-35.55,1508.8,-32.61
355.85,-33.13,1511.7,-29.0
356.4,-34.92,1514.2,-31.67
356.95,-33.72,1516.9,-29.88
357.5,-35.08,1519.4,-31.91
358.05,-35.18,1522.2,-32.06
358.6,-34.61,1525.0,-31.21
359.15,-36.18,1527.6,-33.55
359.7,-35.75,1530.7,-32.91
360.25,-34.7,1533.6,-31.34
360.8,-35.23,1536.3,-32.13
361.35,-33.3,1539.1,-29.25
361.9,-34.88,1541.6,-31.61
362.45,-34.56,1544.3,-31.13
363.0,-36.1,1547.0,-33.43
363.55,-34.27,1550.0,-30.7
364.1,-34.54,1552.6,-31.1
364.65,-34.31,1555.3,-30.76
365.2,-34.05,1557.9,-30.37
365.75,-34.48,1560.5,-31.01
366.3,-35.24,1563.2,-32.15
366.85,-35.76,1566.0,-32.93
367.4,-35.61,1568.9,-32.7
367.95,-33.84,1571.8,-30.06
368.5,-34.49,1574.4,-31.03
369.05,-33.0,1577.0,-28.81
369.6,-33.81,1579.5,-30.01
370.15,-34.23,1582.0,-30.64
370.7,-34.55,1584.7,-31.12
371.25,-34.07,1587.3,-30.4
371.8,-35.12,1589.9,-31.97
372.35,-34.95,1592.7,-31.72
372.9,-34.73,1595.5,-31.39
373.45,-34.82,1598.2,-31.52
374.0,-35.3,1600.9,-32.24
374.55,-35.14,1603.7,-32.0
375.1,-34.93,1606.5,-31.69
375.65,-35.44,1609.3,-32.45
376.2,-34.95,1612.2,-31.72
376.75,-36.22,1614.9,-33.61
377.3,-36.06,1618.0,-33.37
377.85,-33.93,1621.0,-30.19
378.4,-35.07,1623.6,-31.9
